"pict1","pict2","channel","mean","var","lighting","ISO","shutter.speed","aperture","focal.length","count"
"crop_91.fit","crop_92.fit","Blue",442.87109375,226.928975363514,"Normal",100,"1/1000",5.6,"90.0 mm",6
"crop_92.fit","crop_95.fit","Blue",440.0556640625,222.542247067449,"Normal",100,"1/1000",5.6,"90.0 mm",6
"crop_91.fit","crop_94.fit","Red",253.01708984375,117.500954129246,"Normal",100,"1/1000",5.6,"90.0 mm",6
"crop_95.fit","crop_96.fit","Red",252.27490234375,114.513173093078,"Normal",100,"1/1000",5.6,"90.0 mm",6
"crop_91.fit","crop_95.fit","Red",251.27099609375,122.226783491416,"Normal",100,"1/1000",5.6,"90.0 mm",6
"crop_93.fit","crop_96.fit","Green R",565.94189453125,234.95380420256,"Normal",100,"1/1000",5.6,"90.0 mm",6
"crop_93.fit","crop_94.fit","Green R",564.1689453125,241.922501221896,"Normal",100,"1/1000",5.6,"90.0 mm",6
"crop_94.fit","crop_96.fit","Green R",563.93017578125,234.573725695717,"Normal",100,"1/1000",5.6,"90.0 mm",6
"crop_91.fit","crop_93.fit","Green R",563.86474609375,220.885729300312,"Normal",100,"1/1000",5.6,"90.0 mm",6
"crop_91.fit","crop_96.fit","Green R",563.6259765625,230.843412069282,"Normal",100,"1/1000",5.6,"90.0 mm",6
"crop_91.fit","crop_94.fit","Green R",561.85302734375,229.294216898063,"Normal",100,"1/1000",5.6,"90.0 mm",6
"crop_93.fit","crop_95.fit","Green R",560.61865234375,227.557795221621,"Normal",100,"1/1000",5.6,"90.0 mm",6
"crop_95.fit","crop_96.fit","Green R",560.3798828125,238.486816883553,"Normal",100,"1/1000",5.6,"90.0 mm",6
"crop_93.fit","crop_95.fit","Red",252.23828125,112.276385325024,"Normal",100,"1/1000",5.6,"90.0 mm",6
"crop_94.fit","crop_95.fit","Red",251.767578125,116.133889296188,"Normal",100,"1/1000",5.6,"90.0 mm",6
"crop_92.fit","crop_96.fit","Red",251.37744140625,122.038981835747,"Normal",100,"1/1000",5.6,"90.0 mm",6
"crop_92.fit","crop_93.fit","Red",251.3408203125,105.224109161168,"Normal",100,"1/1000",5.6,"90.0 mm",6
"crop_92.fit","crop_94.fit","Green R",558.02734375,238.739443960777,"Normal",100,"1/1000",5.6,"90.0 mm",6
"crop_91.fit","crop_92.fit","Green R",557.72314453125,221.944544519031,"Normal",100,"1/1000",5.6,"90.0 mm",6
"crop_92.fit","crop_95.fit","Green R",554.47705078125,213.369038959403,"Normal",100,"1/1000",5.6,"90.0 mm",6
"crop_94.fit","crop_96.fit","Green B",565.8349609375,244.63712541239,"Normal",100,"1/1000",5.6,"90.0 mm",6
"crop_91.fit","crop_96.fit","Green B",565.53271484375,234.630902809598,"Normal",100,"1/1000",5.6,"90.0 mm",6
"crop_91.fit","crop_94.fit","Green B",564.55712890625,225.759931249236,"Normal",100,"1/1000",5.6,"90.0 mm",6
"crop_93.fit","crop_95.fit","Green B",562.451171875,223.05788543194,"Normal",100,"1/1000",5.6,"90.0 mm",6
"crop_95.fit","crop_96.fit","Green B",561.71337890625,230.271909652218,"Normal",100,"1/1000",5.6,"90.0 mm",6
"crop_92.fit","crop_93.fit","Green B",561.6591796875,237.297157563539,"Normal",100,"1/1000",5.6,"90.0 mm",6
"crop_92.fit","crop_93.fit","Green R",560.0390625,234.396808941227,"Normal",100,"1/1000",5.6,"90.0 mm",6
"crop_92.fit","crop_96.fit","Green R",559.80029296875,226.941508870204,"Normal",100,"1/1000",5.6,"90.0 mm",6
"crop_94.fit","crop_95.fit","Green R",558.60693359375,221.505688977731,"Normal",100,"1/1000",5.6,"90.0 mm",6
"crop_91.fit","crop_95.fit","Green R",558.302734375,201.134866813294,"Normal",100,"1/1000",5.6,"90.0 mm",6
"crop_93.fit","crop_96.fit","Green B",567.54833984375,247.973308723576,"Normal",100,"1/1000",5.6,"90.0 mm",6
"crop_93.fit","crop_94.fit","Green B",566.57275390625,245.726542930566,"Normal",100,"1/1000",5.6,"90.0 mm",6
"crop_91.fit","crop_93.fit","Green B",566.2705078125,238.242913000978,"Normal",100,"1/1000",5.6,"90.0 mm",6
"crop_91.fit","crop_96.fit","Blue",447.41357421875,231.105930302267,"Normal",100,"1/1000",5.6,"90.0 mm",6
"crop_91.fit","crop_94.fit","Blue",446.8544921875,201.98619257087,"Normal",100,"1/1000",5.6,"90.0 mm",6
"crop_93.fit","crop_95.fit","Blue",445.28564453125,224.865331267565,"Normal",100,"1/1000",5.6,"90.0 mm",6
"crop_95.fit","crop_96.fit","Blue",444.59814453125,221.553136741661,"Normal",100,"1/1000",5.6,"90.0 mm",6
"crop_92.fit","crop_93.fit","Blue",444.48486328125,225.391182012922,"Normal",100,"1/1000",5.6,"90.0 mm",6
"crop_94.fit","crop_95.fit","Blue",444.0390625,211.990910236437,"Normal",100,"1/1000",5.6,"90.0 mm",6
"crop_92.fit","crop_96.fit","Green B",560.92138671875,240.354192918347,"Normal",100,"1/1000",5.6,"90.0 mm",6
"crop_94.fit","crop_95.fit","Green B",560.73779296875,217.681550414681,"Normal",100,"1/1000",5.6,"90.0 mm",6
"crop_91.fit","crop_95.fit","Green B",560.435546875,231.518234894306,"Normal",100,"1/1000",5.6,"90.0 mm",6
"crop_92.fit","crop_94.fit","Green B",559.94580078125,226.584753310576,"Normal",100,"1/1000",5.6,"90.0 mm",6
"crop_91.fit","crop_92.fit","Green B",559.6435546875,224.705393145161,"Normal",100,"1/1000",5.6,"90.0 mm",6
"crop_92.fit","crop_95.fit","Green B",555.82421875,229.287769962732,"Normal",100,"1/1000",5.6,"90.0 mm",6
"crop_94.fit","crop_96.fit","Blue",447.78076171875,211.111780131201,"Normal",100,"1/1000",5.6,"90.0 mm",6
"crop_93.fit","crop_94.fit","Red",253.984375,113.357030486315,"Normal",100,"1/1000",5.6,"90.0 mm",6
"crop_93.fit","crop_96.fit","Blue",449.02734375,235.857282502444,"Normal",100,"1/1000",5.6,"90.0 mm",6
"crop_93.fit","crop_96.fit","Red",254.49169921875,115.092623086968,"Normal",100,"1/1000",5.6,"90.0 mm",6
"crop_94.fit","crop_96.fit","Red",254.02099609375,121.340557318396,"Normal",100,"1/1000",5.6,"90.0 mm",6
"crop_93.fit","crop_94.fit","Blue",448.46826171875,208.774170160527,"Normal",100,"1/1000",5.6,"90.0 mm",6
"crop_91.fit","crop_93.fit","Blue",448.10107421875,232.946228444984,"Normal",100,"1/1000",5.6,"90.0 mm",6
"crop_91.fit","crop_96.fit","Red",253.5244140625,118.19840542522,"Normal",100,"1/1000",5.6,"90.0 mm",6
"crop_91.fit","crop_93.fit","Red",253.48779296875,107.86051623213,"Normal",100,"1/1000",5.6,"90.0 mm",6
"crop_207.fit","crop_209.fit","Blue",180.79296875,87.9138563049853,"Normal",100,"1/1000",7.1,"90.0 mm",6
"crop_206.fit","crop_209.fit","Blue",179.7001953125,83.6475115316471,"Normal",100,"1/1000",7.1,"90.0 mm",6
"crop_206.fit","crop_209.fit","Red",99.68701171875,47.4976817379949,"Normal",100,"1/1000",7.1,"90.0 mm",6
"crop_206.fit","crop_208.fit","Red",99.14501953125,45.5600862773399,"Normal",100,"1/1000",7.1,"90.0 mm",6
"crop_207.fit","crop_208.fit","Blue",179.49365234375,85.2451463029998,"Normal",100,"1/1000",7.1,"90.0 mm",6
"crop_205.fit","crop_206.fit","Green R",228.4111328125,95.8120417888563,"Normal",100,"1/1000",7.1,"90.0 mm",6
"crop_206.fit","crop_208.fit","Blue",178.40087890625,84.1320177900477,"Normal",100,"1/1000",7.1,"90.0 mm",6
"crop_208.fit","crop_209.fit","Blue",177.03271484375,83.7615044408297,"Normal",100,"1/1000",7.1,"90.0 mm",6
"crop_208.fit","crop_209.fit","Red",98.6708984375,45.6484737750489,"Normal",100,"1/1000",7.1,"90.0 mm",6
"crop_204.fit","crop_209.fit","Red",101.470703125,50.4123900293255,"Normal",100,"1/1000",7.1,"90.0 mm",6
"crop_206.fit","crop_207.fit","Red",101.09716796875,51.9404893504093,"Normal",100,"1/1000",7.1,"90.0 mm",6
"crop_205.fit","crop_208.fit","Red",100.97216796875,43.135080167858,"Normal",100,"1/1000",7.1,"90.0 mm",6
"crop_205.fit","crop_209.fit","Red",101.51416015625,44.8969860207417,"Normal",100,"1/1000",7.1,"90.0 mm",6
"crop_207.fit","crop_209.fit","Red",100.623046875,48.3758247800587,"Normal",100,"1/1000",7.1,"90.0 mm",6
"crop_207.fit","crop_208.fit","Red",100.0810546875,49.906461922654,"Normal",100,"1/1000",7.1,"90.0 mm",6
"crop_204.fit","crop_205.fit","Green R",232.0693359375,95.52889021261,"Normal",100,"1/1000",7.1,"90.0 mm",6
"crop_205.fit","crop_207.fit","Green R",230.31298828125,92.9782803144856,"Normal",100,"1/1000",7.1,"90.0 mm",6
"crop_204.fit","crop_207.fit","Green R",229.95947265625,97.2003103425892,"Normal",100,"1/1000",7.1,"90.0 mm",6
"crop_204.fit","crop_206.fit","Green B",228.98291015625,93.0400166292461,"Normal",100,"1/1000",7.1,"90.0 mm",6
"crop_204.fit","crop_206.fit","Green R",228.0576171875,95.9684674364614,"Normal",100,"1/1000",7.1,"90.0 mm",6
"crop_205.fit","crop_209.fit","Green R",227.22265625,95.0732355052542,"Normal",100,"1/1000",7.1,"90.0 mm",6
"crop_204.fit","crop_209.fit","Green R",226.869140625,97.5853933742669,"Normal",100,"1/1000",7.1,"90.0 mm",6
"crop_206.fit","crop_207.fit","Green R",226.30126953125,93.2901006346224,"Normal",100,"1/1000",7.1,"90.0 mm",6
"crop_205.fit","crop_208.fit","Green R",225.60888671875,86.5920045019245,"Normal",100,"1/1000",7.1,"90.0 mm",6
"crop_204.fit","crop_208.fit","Green R",225.25537109375,94.1439847377505,"Normal",100,"1/1000",7.1,"90.0 mm",6
"crop_204.fit","crop_208.fit","Red",100.9287109375,50.5424437163978,"Normal",100,"1/1000",7.1,"90.0 mm",6
"crop_207.fit","crop_208.fit","Green R",223.4990234375,85.3183631934262,"Normal",100,"1/1000",7.1,"90.0 mm",6
"crop_206.fit","crop_209.fit","Green R",223.2109375,92.8428622159091,"Normal",100,"1/1000",7.1,"90.0 mm",6
"crop_206.fit","crop_208.fit","Green R",221.59716796875,88.5184845239186,"Normal",100,"1/1000",7.1,"90.0 mm",6
"crop_208.fit","crop_209.fit","Green R",220.40869140625,93.1573721399988,"Normal",100,"1/1000",7.1,"90.0 mm",6
"crop_205.fit","crop_206.fit","Green B",229.64013671875,97.7534208325696,"Normal",100,"1/1000",7.1,"90.0 mm",6
"crop_205.fit","crop_209.fit","Blue",182.56982421875,80.8423214312989,"Normal",100,"1/1000",7.1,"90.0 mm",6
"crop_205.fit","crop_209.fit","Green B",228.23974609375,90.088590828904,"Normal",100,"1/1000",7.1,"90.0 mm",6
"crop_204.fit","crop_209.fit","Green B",227.58251953125,89.3476710464015,"Normal",100,"1/1000",7.1,"90.0 mm",6
"crop_206.fit","crop_207.fit","Green B",227.13671875,96.3846357985093,"Normal",100,"1/1000",7.1,"90.0 mm",6
"crop_205.fit","crop_208.fit","Green B",226.3330078125,90.8579679099462,"Normal",100,"1/1000",7.1,"90.0 mm",6
"crop_207.fit","crop_209.fit","Green B",225.736328125,89.8738678366325,"Normal",100,"1/1000",7.1,"90.0 mm",6
"crop_204.fit","crop_208.fit","Green B",225.67578125,94.3183574657869,"Normal",100,"1/1000",7.1,"90.0 mm",6
"crop_207.fit","crop_209.fit","Green R",225.11279296875,95.6840553022666,"Normal",100,"1/1000",7.1,"90.0 mm",6
"crop_207.fit","crop_208.fit","Green B",223.82958984375,95.0173351776332,"Normal",100,"1/1000",7.1,"90.0 mm",6
"crop_204.fit","crop_205.fit","Green B",232.8583984375,87.7970411015396,"Normal",100,"1/1000",7.1,"90.0 mm",6
"crop_205.fit","crop_207.fit","Green B",231.01220703125,95.2829678144856,"Normal",100,"1/1000",7.1,"90.0 mm",6
"crop_204.fit","crop_207.fit","Green B",230.35498046875,95.391056004857,"Normal",100,"1/1000",7.1,"90.0 mm",6
"crop_204.fit","crop_206.fit","Blue",183.5908203125,93.3381884622434,"Normal",100,"1/1000",7.1,"90.0 mm",6
"crop_204.fit","crop_208.fit","Blue",180.92333984375,90.986913776118,"Normal",100,"1/1000",7.1,"90.0 mm",6
"crop_204.fit","crop_209.fit","Blue",182.22265625,89.4257086999022,"Normal",100,"1/1000",7.1,"90.0 mm",6
